Pickup date,Length of Rent,Revenue per vehicle,Expected Bookings
01/01/2025,1,100,1
01/01/2025,2,150,3
01/01/2025,3,200,3
01/01/2025,4,220,1
01/01/2025,5,245,3
01/01/2025,6,290,0
01/01/2025,7,335,1
02/01/2025,1,100,3
02/01/2025,2,170,5
02/01/2025,3,200,2
02/01/2025,4,220,0
02/01/2025,5,245,1
02/01/2025,6,290,2
03/01/2025,1,120,4
03/01/2025,2,170,5
03/01/2025,3,200,2
03/01/2025,4,220,3
03/01/2025,5,245,1
04/01/2025,1,100,5
04/01/2025,2,150,2
04/01/2025,3,180,1
04/01/2025,4,200,0
05/01/2025,1,100,1
05/01/2025,2,150,0
05/01/2025,3,180,1
06/01/2025,1,100,0
06/01/2025,2,150,0
07/01/2025,1,100,1